tracklet_id,mpc80_designation,mpc80_line0,mpc80_line1,mpc80_sha256,exported,exclusion_reason
SAMEMAP000,D000000,     D000000  C2027 08 25.00000 13 31 01.20 -01 08 28.4          22.1 V      X05,     D000000  C2027 08 25.02083 13 31 03.56 -01 08 57.4          22.1 V      X05,cee3cbd0dd9338409496183dc8044c0a99d053e9fd8a82dde36cdccda804cb79,True,
SAMEMAP001,D000001,     D000001  C2027 08 25.00000 13 17 42.12 -00 01 50.5          24.4 V      X05,     D000001  C2027 08 25.02083 13 17 44.01 -00 02 48.2          24.4 V      X05,02797b5e4cd8fa62f7e2d7c7313b84c80306412e3e252d59c245adc8d3aabfc6,True,
SAMEMAP002,D000002,     D000002  C2027 08 25.00000 13 21 56.61 +01 55 15.7          24.7 V      X05,     D000002  C2027 08 25.02083 13 21 58.94 +01 54 55.1          24.7 V      X05,74160017c0e6cede225e455be2eb1027c4bb5722cedc45d67f1a5b8c7eb01bc2,True,
SAMEMAP003,D000003,     D000003  C2027 08 25.00000 13 46 20.55 -01 46 53.1          23.6 V      X05,     D000003  C2027 08 25.02083 13 46 24.98 -01 47 07.1          23.6 V      X05,c0dcb574529fe58ec38708289332fcd414c92cd3abefe3e1504740324324ca97,True,
SAMEMAP004,D000004,     D000004  C2027 08 25.00000 13 31 38.89 -02 33 13.1          23.6 V      X05,     D000004  C2027 08 25.02083 13 31 40.83 -02 33 32.6          23.6 V      X05,fb046a41a089f5347233357399021f4ce401fdfd337a002f720d68c94d1bac82,True,
SAMEMAP005,D000005,     D000005  C2027 08 25.00000 13 23 20.19 -00 56 25.8          21.8 V      X05,     D000005  C2027 08 25.02083 13 23 24.69 -00 56 41.0          21.8 V      X05,7bbb8e8d2c155ba9b6ce9c39d0450a5074ff6b80589acfdf3d66ddb517cb983f,True,
DIFFMAP000,D000006,     D000006  C2027 08 25.00000 04 26 25.62 +02 14 18.7          24.7 V      X05,     D000006  C2027 08 25.02083 04 26 31.26 +02 14 59.5          24.7 V      X05,3c38bd595acdfd88bc9308abaf474c797628b04581befa406dbfe2709ca46432,True,
DIFFMAP001,D000007,     D000007  C2027 08 25.00000 07 24 17.16 +28 28 53.9          24.8 V      X05,     D000007  C2027 08 25.02083 07 24 22.29 +28 28 54.9          24.8 V      X05,3fdb05028aeb34cd8933f9c15e4639e049bc8ee20fc67d00e6d30291f286cd6b,True,
DIFFMAP002,D000008,     D000008  C2027 08 25.00000 16 04 10.27 -21 49 57.7          24.8 V      X05,     D000008  C2027 08 25.02083 16 04 17.51 -21 50 33.2          24.8 V      X05,3e7ef3d7c2547d01c8e59934ccd9a46c3310e394231d41ef84f012963969633f,True,
DIFFMAP003,D000009,     D000009  C2027 08 25.00000 05 01 52.23 +27 01 50.4          24.0 V      X05,     D000009  C2027 08 25.02083 05 01 54.66 +27 01 37.0          24.0 V      X05,5d9415c8aeceac232d8e450e0bfe238b27a85fac165f159caf884a50d7b1dbc0,True,
