snapshot_id,fetched_at_utc,batch_id,designation,ephem_time_utc,ra_hms,ra_deg,dec_dms,dec_deg,elong_deg,v_mag,motion_arcsec_per_min,pa_deg,uncertainty,source_url
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-11T11:00:00Z,17 01 05.4,255.27249999999998,+17 48 37,17.810277777777777,135.4,21.1,2.19,350.2,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-11T12:00:00Z,17 01 03.8,255.26583333333332,+17 50 47,17.84638888888889,135.4,21.1,2.2,350.2,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-11T13:00:00Z,17 01 02.3,255.25958333333332,+17 52 57,17.8825,135.3,21.0,2.21,350.1,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-11T14:00:00Z,17 01 00.7,255.2529166666667,+17 55 08,17.91888888888889,135.3,21.0,2.21,350.1,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-11T15:00:00Z,17 00 59.0,255.24583333333337,+17 57 19,17.955277777777777,135.3,21.0,2.22,350.0,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-11T16:00:00Z,17 00 57.4,255.23916666666665,+17 59 31,17.991944444444446,135.3,21.0,2.23,350.0,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-11T17:00:00Z,17 00 55.8,255.2325,+18 01 43,18.02861111111111,135.3,21.0,2.24,349.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-11T18:00:00Z,17 00 54.1,255.22541666666666,+18 03 55,18.06527777777778,135.3,21.0,2.24,349.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-11T19:00:00Z,17 00 52.5,255.21875,+18 06 08,18.102222222222224,135.3,21.0,2.25,349.8,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-11T20:00:00Z,17 00 50.8,255.21166666666664,+18 08 21,18.139166666666664,135.3,21.0,2.26,349.8,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-11T21:00:00Z,17 00 49.1,255.20458333333332,+18 10 35,18.17638888888889,135.3,21.0,2.27,349.8,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-11T22:00:00Z,17 00 47.4,255.1975,+18 12 49,18.21361111111111,135.3,21.0,2.27,349.7,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-11T23:00:00Z,17 00 45.7,255.1904166666667,+18 15 03,18.250833333333333,135.2,21.0,2.28,349.7,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-12T00:00:00Z,17 00 44.0,255.1833333333333,+18 17 18,18.288333333333334,135.2,21.0,2.29,349.6,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-12T01:00:00Z,17 00 42.2,255.17583333333332,+18 19 34,18.32611111111111,135.2,21.0,2.3,349.6,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-12T02:00:00Z,17 00 40.5,255.16875000000002,+18 21 49,18.363611111111112,135.2,21.0,2.31,349.5,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260511T123035Z,2026-05-11T12:30:35.826384Z,20260511T123035Z_batch01,CELY6P2,2026-05-12T03:00:00Z,17 00 38.7,255.16125000000002,+18 24 06,18.401666666666664,135.2,21.0,2.31,349.5,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
