snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260714T190001Z,2026-07-14T19:00:01.705455Z,P12omkz,100,1.0,2026-07-14.40,20.4579,306.8685,-34.114,21.3,Added,July 14.51 UT,,3,0.03,22.4,0.316,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,P12omki,100,1.0,2026-07-14.40,16.6913,250.36949999999996,11.7057,21.7,Updated,July 14.65 UT,,5,0.12,23.3,0.304,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,P12omkc,73,0.73,2026-07-14.40,19.661,294.915,-38.1548,21.0,Added,July 14.48 UT,,4,0.02,18.3,0.353,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,P12o4wi,100,1.0,2026-07-13.50,21.8136,327.204,-6.7897,21.4,Updated,July 14.75 UT,,10,1.12,22.2,0.202,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,P12o4wj,100,1.0,2026-07-13.50,21.4213,321.3195,-4.4772,21.9,Updated,July 14.61 UT,,12,1.11,22.8,0.196,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,P12o4vO,100,1.0,2026-07-11.60,9.7809,146.7135,-10.4397,25.9,Updated,July 13.24 UT,,3,0.01,26.0,3.191,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,P12o4vm,30,0.3,2026-07-11.50,22.4803,337.2045,-18.4662,20.8,Updated,July 14.79 UT,,18,23.77,19.2,0.46,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,P12o4vl,95,0.95,2026-07-11.50,22.4358,336.53700000000003,-18.9176,20.9,Updated,July 14.79 UT,,13,23.75,19.5,0.469,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,ZTF10El,100,1.0,2026-07-11.30,0.6641,9.961500000000001,-3.1069,22.4,Updated,July 13.24 UT,,4,0.02,27.7,3.452,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,ZTF10En,100,1.0,2026-07-11.40,9.9217,148.8255,-26.0228,28.5,Updated,July 13.24 UT,,2,0.0,29.8,3.389,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,S001621,94,0.94,2026-07-11.20,22.1399,332.0985,-33.4723,20.5,Updated,July 14.55 UT,,15,3.29,21.6,0.275,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,A11EvW0,100,1.0,2026-07-11.30,20.4463,306.6945,-25.4036,19.8,Updated,July 13.23 UT,,4,0.02,24.9,3.515,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,ST26G26,100,1.0,2026-07-10.50,20.4986,307.479,0.7597,22.2,Updated,July 14.24 UT,,4,0.01,27.1,4.324,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,TF26G22,100,1.0,2026-07-10.30,7.7921,116.88149999999999,-18.0101,29.1,Updated,July 14.67 UT,,2,0.0,28.9,4.487,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,ST26G18,100,1.0,2026-07-10.30,8.3527,125.29050000000001,44.1737,29.0,Updated,July 14.24 UT,,4,0.02,26.1,4.46,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,ST26G17,100,1.0,2026-07-10.30,7.5059,112.5885,-19.9149,28.2,Updated,July 14.23 UT,,2,0.0,27.7,4.503,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,A11Evap,10,0.1,2026-07-09.90,19.8577,297.8655,-31.5789,18.9,Updated,July 14.79 UT,,31,4.5,21.9,0.362,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,P12o0YY,99,0.99,2026-07-09.50,20.6419,309.6285,-20.2411,20.7,Updated,July 14.24 UT,,6,0.08,18.6,5.248,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,A11EpSe,10,0.1,2026-07-08.20,19.6199,294.2985,-29.2334,19.3,Updated,July 14.56 UT,,24,6.36,19.1,0.254,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,ST26G01,98,0.98,2026-07-07.20,21.8627,327.9405,-62.1456,22.8,Updated,July 14.23 UT,,14,0.1,27.0,7.441,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,MAS0006,35,0.35,2026-06-19.30,18.34,275.1,23.9589,20.0,Updated,July 14.22 UT,,166,24.89,9.0,0.599,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260714T190001Z,2026-07-14T19:00:01.705455Z,P22nJzF,35,0.35,2026-06-22.50,22.4534,336.801,18.6796,21.5,Updated,July 14.24 UT,,23,25.46,14.1,4.783,https://minorplanetcenter.net/iau/NEO/neocp.txt
