snapshot_id,started_at_utc,finished_at_utc,status,object_count,active_ephemeris_object_count,ephemeris_row_count,error_message
20260509T230955Z,2026-05-09T23:09:55.277201Z,2026-05-09T23:09:56.191734Z,ok,26,24,25,
20260509T231155Z,2026-05-09T23:11:55.917723Z,2026-05-09T23:11:57.034946Z,ok,26,24,600,
20260509T232939Z,2026-05-09T23:29:39.390900Z,2026-05-09T23:29:40.630214Z,ok,26,24,600,
20260510T002940Z,2026-05-10T00:29:40.738319Z,2026-05-10T00:29:41.978195Z,ok,26,24,600,
20260510T012942Z,2026-05-10T01:29:42.172473Z,2026-05-10T01:29:43.425437Z,ok,26,24,600,
20260510T022943Z,2026-05-10T02:29:43.524067Z,2026-05-10T02:29:44.653694Z,ok,26,24,600,
20260510T032944Z,2026-05-10T03:29:44.772586Z,2026-05-10T03:29:45.898629Z,ok,26,24,600,
20260510T042946Z,2026-05-10T04:29:46.009745Z,2026-05-10T04:29:47.240280Z,ok,26,24,600,
20260510T052947Z,2026-05-10T05:29:47.361040Z,2026-05-10T05:29:48.512782Z,ok,27,25,625,
20260510T062948Z,2026-05-10T06:29:48.639222Z,2026-05-10T06:29:50.023049Z,ok,28,26,650,
20260510T072950Z,2026-05-10T07:29:50.356018Z,2026-05-10T07:29:53.288296Z,ok,29,27,675,
20260510T082953Z,2026-05-10T08:29:53.503609Z,2026-05-10T08:29:54.983516Z,ok,30,28,700,
20260510T092955Z,2026-05-10T09:29:55.352056Z,2026-05-10T09:29:56.974648Z,ok,31,29,725,
20260510T102957Z,2026-05-10T10:29:57.276950Z,2026-05-10T10:29:58.737015Z,ok,32,30,750,
20260510T112959Z,2026-05-10T11:29:59.045407Z,2026-05-10T11:30:00.500028Z,ok,32,30,750,
20260510T123000Z,2026-05-10T12:30:00.675463Z,2026-05-10T12:30:02.237127Z,ok,32,30,750,
20260510T133002Z,2026-05-10T13:30:02.338082Z,2026-05-10T13:30:03.597842Z,ok,32,30,750,
20260510T143003Z,2026-05-10T14:30:03.699956Z,2026-05-10T14:30:05.186151Z,ok,32,30,750,
20260510T153005Z,2026-05-10T15:30:05.285357Z,2026-05-10T15:30:06.613013Z,ok,31,29,725,
20260510T163006Z,2026-05-10T16:30:06.751611Z,2026-05-10T16:30:08.089943Z,ok,31,29,725,
20260510T173008Z,2026-05-10T17:30:08.255610Z,2026-05-10T17:30:09.435546Z,ok,34,32,800,
20260510T183009Z,2026-05-10T18:30:09.537022Z,2026-05-10T18:30:10.701833Z,ok,34,32,800,
20260510T193010Z,2026-05-10T19:30:10.803106Z,2026-05-10T19:30:12.098430Z,ok,34,32,800,
20260510T203012Z,2026-05-10T20:30:12.249471Z,2026-05-10T20:30:13.523922Z,ok,32,30,750,
20260510T213013Z,2026-05-10T21:30:13.628908Z,2026-05-10T21:30:14.835222Z,ok,32,30,750,
20260510T223014Z,2026-05-10T22:30:14.994533Z,2026-05-10T22:30:16.227611Z,ok,28,26,650,
20260510T233016Z,2026-05-10T23:30:16.322287Z,2026-05-10T23:30:17.451782Z,ok,28,26,650,
20260511T003017Z,2026-05-11T00:30:17.618891Z,2026-05-11T00:30:18.731806Z,ok,28,26,650,
20260511T013018Z,2026-05-11T01:30:18.876239Z,2026-05-11T01:30:20.069661Z,ok,27,25,625,
20260511T023020Z,2026-05-11T02:30:20.234010Z,2026-05-11T02:30:21.389654Z,ok,26,24,600,
20260511T033021Z,2026-05-11T03:30:21.601044Z,2026-05-11T03:30:22.943907Z,ok,26,24,600,
20260511T043023Z,2026-05-11T04:30:23.119995Z,2026-05-11T04:30:24.517297Z,ok,26,24,600,
20260511T053024Z,2026-05-11T05:30:24.698839Z,2026-05-11T05:30:25.923827Z,ok,26,24,600,
20260511T063026Z,2026-05-11T06:30:26.096709Z,2026-05-11T06:30:27.259072Z,ok,26,24,600,
20260511T073027Z,2026-05-11T07:30:27.533932Z,2026-05-11T07:30:28.910792Z,ok,28,26,650,
20260511T083029Z,2026-05-11T08:30:29.176610Z,2026-05-11T08:30:30.792738Z,ok,28,26,650,
20260511T093031Z,2026-05-11T09:30:31.046943Z,2026-05-11T09:30:32.605935Z,ok,30,28,700,
20260511T103032Z,2026-05-11T10:30:32.954218Z,2026-05-11T10:30:34.266348Z,ok,32,30,750,
20260511T113034Z,2026-05-11T11:30:34.394619Z,2026-05-11T11:30:35.728746Z,ok,33,31,775,
20260511T123035Z,2026-05-11T12:30:35.826384Z,2026-05-11T12:30:37.024176Z,ok,33,31,775,
20260511T133037Z,2026-05-11T13:30:37.224477Z,2026-05-11T13:30:38.396181Z,ok,33,31,775,
20260511T143038Z,2026-05-11T14:30:38.582460Z,2026-05-11T14:30:39.805850Z,ok,31,29,725,
20260511T153039Z,2026-05-11T15:30:39.996339Z,2026-05-11T15:30:41.297018Z,ok,30,28,700,
20260511T163041Z,2026-05-11T16:30:41.480997Z,2026-05-11T16:30:42.713210Z,ok,29,27,675,
20260511T173042Z,2026-05-11T17:30:42.883020Z,2026-05-11T17:30:44.014375Z,ok,29,27,675,
20260511T183044Z,2026-05-11T18:30:44.165813Z,2026-05-11T18:30:45.335051Z,ok,29,27,675,
20260511T193045Z,2026-05-11T19:30:45.432197Z,2026-05-11T19:30:46.642544Z,ok,29,27,675,
20260511T203046Z,2026-05-11T20:30:46.810117Z,2026-05-11T20:30:48.074400Z,ok,29,27,675,
20260511T213048Z,2026-05-11T21:30:48.174357Z,2026-05-11T21:30:49.416192Z,ok,29,27,675,
20260511T223050Z,2026-05-11T22:30:50.652417Z,2026-05-11T22:30:51.998509Z,ok,29,27,675,
20260511T233052Z,2026-05-11T23:30:52.291416Z,2026-05-11T23:30:54.772129Z,ok,28,26,650,
20260512T003055Z,2026-05-12T00:30:55.083398Z,2026-05-12T00:30:56.426252Z,ok,28,26,650,
20260512T013056Z,2026-05-12T01:30:56.698530Z,2026-05-12T01:30:58.015377Z,ok,30,28,700,
20260512T023058Z,2026-05-12T02:30:58.342167Z,2026-05-12T02:30:59.752027Z,ok,31,29,725,
20260512T033100Z,2026-05-12T03:31:00.092622Z,2026-05-12T03:31:01.408545Z,ok,33,31,775,
20260512T043101Z,2026-05-12T04:31:01.736155Z,2026-05-12T04:31:03.075223Z,ok,31,29,725,
20260512T053103Z,2026-05-12T05:31:03.406079Z,2026-05-12T05:31:04.758543Z,ok,30,28,700,
20260512T063105Z,2026-05-12T06:31:05.507502Z,2026-05-12T06:31:06.807881Z,ok,27,25,625,
20260512T073107Z,2026-05-12T07:31:07.114632Z,2026-05-12T07:31:08.595931Z,ok,29,27,675,
20260512T083109Z,2026-05-12T08:31:09.048328Z,2026-05-12T08:31:10.539383Z,ok,32,30,750,
20260512T093110Z,2026-05-12T09:31:10.875814Z,2026-05-12T09:31:12.277192Z,ok,34,32,800,
20260512T103112Z,2026-05-12T10:31:12.592207Z,2026-05-12T10:31:13.943855Z,ok,39,37,925,
