field_key,observationId0,observationId1,n_tracklets,n_objects,fieldRA,fieldDec,rotSkyPos0,rotSkyPos1,mjd0,mjd1,band0,band1,n_matched,n_neo,n_nonneo,field_label,cum_neo,cum_nonneo,cum_matched,cum_tracklets
373765-373817,373765,373817,25,25,315.6825177941189,-13.277114016451204,144.96652051211944,120.54319117917052,61642.14331588682,61642.167047222494,r,i,9,5,4,A,5,4,9,25
374006-374058,374006,374058,24,24,347.6615257772227,-8.854711246793014,125.93350398601339,109.34834614082037,61642.253410136866,61642.27716943168,g,r,8,4,4,B,9,8,17,49
374107-374159,374107,374159,24,24,10.459801237058713,1.9451247494775845,140.96344844814226,127.24220479209438,61642.29806792371,61642.321932656865,r,i,8,3,5,C,12,13,25,73
374108-374160,374108,374160,24,24,5.612435850997294,2.863202976914128,133.06386966920232,120.3423953691796,61642.298501505815,61642.3223632303,r,i,9,5,4,D,17,17,34,97
373658-373710,373658,373710,23,23,270.45866431300607,-26.63108025372794,65.10267945919445,64.98675224524713,61642.094378001864,61642.11825371788,i,z,10,1,9,E,18,26,44,120
373659-373711,373659,373711,23,23,272.320612345032,-21.213523687699524,77.52003801990354,73.83158954872613,61642.094847514316,61642.11869848543,i,z,8,3,5,F,21,31,52,143
373788-373840,373788,373840,23,23,325.93481101602737,-4.2091162795698995,156.0050468846943,139.63401455881424,61642.153112282744,61642.17687998216,r,i,8,4,4,G,25,35,60,166
373905-373961,373905,373961,23,23,308.8151615658631,-22.414323129384417,73.50827098113933,71.32351469269727,61642.20499541667,61642.23030993825,i,z,10,3,7,H,28,42,70,189
373910-373966,373910,373966,23,23,317.51308485366314,-17.84516531742886,88.53112261378887,80.808015289907,61642.207123855296,61642.23242367257,i,z,7,3,4,I,31,46,77,212
373776-373828,373776,373828,21,21,338.53272863894745,-13.867824161971438,188.3313940349604,176.4169057759705,61642.14803480024,61642.17177670788,r,i,6,2,4,J,33,50,83,233
373779-373831,373779,373831,21,21,336.49956488075304,-9.032870978565633,179.0276305438203,165.7758240074947,61642.149300604775,61642.17304732836,r,i,9,4,5,K,37,55,92,254
373980-374032,373980,374032,21,21,351.51746422492533,-2.161525241498186,143.23632355643025,127.70107224370017,61642.24234191918,61642.26614124977,g,r,7,3,4,L,40,59,99,275
373573-373625,373573,373625,20,20,248.6997815157693,-23.400569102553263,70.20225368589401,69.7145294114945,61642.056442378394,61642.08027290489,r,i,7,3,4,M,43,63,106,295
373773-373825,373773,373825,20,20,330.4153278564736,-10.669984224775128,173.57048323698308,156.47074690898765,61642.14675094088,61642.17048253923,r,i,4,2,2,N,45,65,110,315
373908-373964,373908,373964,20,20,312.23052900564977,-17.803267454871637,83.7253105327916,78.47421536379193,61642.20627010455,61642.23157612029,i,z,10,6,4,O,51,69,120,335
373767-373819,373767,373819,19,19,321.102050420575,-13.536656576810467,159.46952532922018,134.67718928161105,61642.14418224421,61642.167912293255,r,i,8,2,6,P,53,75,128,354
373770-373822,373770,373822,19,19,326.7487961931708,-14.202079732179511,172.52492961637122,150.5092126177087,61642.14547289369,61642.16920029189,r,i,5,1,4,Q,54,79,133,373
373857-373913,373857,373913,19,19,307.55006857284826,-14.514477456298348,92.2770262254423,84.45627244608112,61642.184572220816,61642.20996649772,i,z,9,4,5,R,58,84,142,392
374119-374171,374119,374171,19,19,9.08702925754262,-4.299216293602096,134.79862427186353,118.99293609916184,61642.30322867198,61642.32705834143,r,i,6,4,2,S,62,86,148,411
373577-373629,373577,373629,18,18,247.8261477933222,-30.764583262605335,58.24793538934472,60.83513165254162,61642.05813549659,61642.08196380369,r,i,7,0,7,T,62,93,155,429
373882-373938,373882,373938,18,18,291.7046191581302,-27.179875848535122,64.83657429004097,66.39172205669752,61642.195195663626,61642.220559386136,i,z,5,2,3,U,64,96,160,447
373567-373619,373567,373619,17,17,255.57356396909347,-22.958749626878994,72.95550297090713,70.77344610239842,61642.05387453101,61642.07771373432,r,i,9,3,6,V,67,102,169,464
373790-373842,373790,373842,17,17,319.87425652205366,-6.247018758978787,144.29627597575382,126.39120112850028,61642.15396571097,61642.177738142804,r,i,7,1,6,W,68,108,176,481
373884-373940,373884,373940,17,17,297.722561514484,-24.817875390727316,67.88522708467251,68.13687199255678,61642.19603809323,61642.22140147645,i,z,3,1,2,X,69,110,179,498
374009-374061,374009,374061,17,17,346.6804859599491,-14.744148465919585,117.19964498642732,99.02150734848671,61642.254687925815,61642.27844471035,g,r,6,3,3,Y,72,113,185,515
373684-373736,373684,373736,16,16,262.3464125266547,-22.444355960056903,71.11750764041383,70.824918879744,61642.105671446734,61642.12940934399,i,z,9,2,7,Z,74,120,194,531
374111-374163,374111,374163,16,16,359.99405749316537,0.7464332850016774,123.00642522751502,111.19553170246147,61642.299772251754,61642.32363258163,r,i,5,1,4,AA,75,124,199,547
