,ra_bench,ra_sorcha,dec_bench,dec_sorcha,vlam_bench,vlam_sorcha,vbeta_bench,vbeta_sorcha,mag_bench,mag_sorcha,H,e,P_vdp_bench,P_vdp_sorcha,P_d2_bench,P_d2_sorcha,sky_sep_deg,dv_deg_day,dmag,dP_vdp,dP_d2
S0000e92a,48.2278,48.8249,-0.0958,0.2975,2.0022,1.9878,0.59,0.6177,23.0359,23.8127,22.984,0.638,0.0,1.0,1.0,1.0,0.715,0.0313,0.7767,1.0,0.0
S0000NWGa,2.15,1.4901,-30.2748,-29.6969,-0.6741,-0.7034,1.9855,2.0074,22.262,22.7822,24.55,0.4761,1.0,0.0,1.0,1.0,0.8116,0.0366,0.5202,-1.0,0.0
S0000kyza,298.0045,298.0622,-19.6609,-19.6714,0.2831,0.2619,-0.1076,-0.097,23.6422,23.827,23.448,0.3838,1.0,0.0071,0.99,0.99,0.0554,0.0237,0.1848,-0.9929,0.0
S0000BUga,336.8534,336.8407,-9.8284,-9.8257,-0.0413,-0.0748,0.0389,0.0501,23.0123,23.0473,24.207,0.431,1.0,0.0127,0.82,0.45,0.0128,0.0353,0.0349,-0.9873,-0.37
S0000t4oa,297.9427,298.0037,-18.9414,-18.9343,0.3159,0.2943,-0.0241,-0.0145,24.1181,23.8187,23.878,0.4922,1.0,0.0154,0.99,1.0,0.0582,0.0236,-0.2993,-0.9846,0.01
S0000alqa,277.679,277.6591,-3.4279,-3.4364,-0.17,-0.1909,-0.0673,-0.0659,23.584,23.6519,22.596,0.5251,0.0033,0.9843,1.0,1.0,0.0217,0.0209,0.0679,0.981,0.0
S00008bfa,281.1538,281.1276,-2.9771,-2.9845,-0.2281,-0.2527,-0.0488,-0.0467,22.8915,22.9221,22.305,0.2829,0.1414,1.0,1.0,1.0,0.0272,0.0247,0.0306,0.8586,0.0
S0000qNMa,347.0906,347.0912,-8.2148,-8.2107,0.0388,-0.0022,0.0042,0.0221,22.4563,22.4669,23.777,0.445,1.0,0.1701,0.99,0.92,0.0041,0.0448,0.0106,-0.8299,-0.07
S0000o28a,287.6525,287.7407,-17.4431,-17.4151,0.4611,0.4395,0.0807,0.0912,23.3832,23.5348,23.642,0.381,1.0,0.1772,0.98,0.97,0.0886,0.024,0.1515,-0.8228,-0.01
S000177da,337.1751,337.1572,-7.8226,-7.8219,-0.0782,-0.1099,0.0391,0.0499,23.9594,23.9268,24.953,0.3594,0.7688,0.0048,0.15,0.33,0.0178,0.0335,-0.0326,-0.764,0.18
S00003tqa,308.5729,308.4913,-14.7654,-14.7464,-0.3547,-0.3625,0.1902,0.1933,24.1314,24.2506,21.242,0.3683,0.2861,1.0,1.0,1.0,0.0812,0.0084,0.1192,0.7139,0.0
