,ra_bench,ra_sorcha,dec_bench,dec_sorcha,vlam_bench,vlam_sorcha,vbeta_bench,vbeta_sorcha,mag_bench,mag_sorcha,H,e,P_vdp_bench,P_vdp_sorcha,P_d2_bench,P_d2_sorcha,sky_sep_deg,dv_deg_day,dmag,dP_vdp,dP_d2
S0000e92a,48.2278,48.8249,-0.0958,0.2975,2.0022,1.9878,0.59,0.6177,23.0359,23.8127,22.984,0.638,0.0,1.0,1.0,1.0,0.715,0.0313,0.7767,1.0,0.0
S00000QBa,261.5778,261.5818,-28.2547,-28.2744,0.0834,0.0754,-0.3125,-0.3107,23.1377,23.2492,19.493,0.7137,0.5038,0.9617,0.62,0.77,0.02,0.0082,0.1114,0.4579,0.15
S00007fva,313.207,313.1562,-6.2413,-6.2547,-0.3024,-0.3127,0.004,0.0072,24.4402,24.3084,22.155,0.6453,0.5781,0.9478,0.66,0.97,0.0523,0.0107,-0.1318,0.3697,0.31
S0000398a,14.1419,14.0735,-8.7501,-8.8102,-0.2695,-0.2861,-0.0909,-0.0843,23.2972,23.3425,21.12,0.4497,0.5096,0.8262,1.0,1.0,0.0905,0.0179,0.0453,0.3166,0.0
S0000dzba,38.2394,38.4373,-3.6475,-3.6242,0.5907,0.5705,-0.1235,-0.1167,24.2783,24.1684,22.932,0.3039,0.7761,0.4873,0.95,0.93,0.1989,0.0214,-0.1099,-0.2888,-0.02
S00002KUa,331.0525,331.0065,-8.2242,-8.2473,-0.3057,-0.3137,-0.0373,-0.0347,24.184,24.2878,20.955,0.4487,0.9537,1.0,0.02,0.15,0.0511,0.0085,0.1037,0.0463,0.13
S0000e7na,255.8147,255.8588,-24.5847,-24.5942,0.6352,0.6166,-0.0843,-0.0816,24.4388,24.3196,22.982,0.3991,1.0,0.9644,0.86,0.84,0.0412,0.0188,-0.1193,-0.0356,-0.02
S00005O6a,261.0978,261.1165,-34.0397,-33.9961,0.125,0.1107,0.3586,0.366,23.1883,23.1836,21.88,0.29,0.0913,0.073,0.41,0.6,0.0462,0.0161,-0.0047,-0.0183,0.19
S00000efa,17.4103,17.343,-3.3625,-3.395,-0.2344,-0.2441,-0.0143,-0.011,21.9606,21.9614,17.873,0.6263,0.0108,0.0202,1.0,1.0,0.0746,0.0103,0.0008,0.0094,0.0
S0000sqBa,27.1182,27.1174,-12.2942,-12.3902,-0.0993,-0.1401,-0.2573,-0.244,23.9101,23.8339,23.85,0.1497,0.0292,0.0217,0.15,0.7,0.0959,0.0429,-0.0762,-0.0075,0.55
S0000fv1a,263.1908,263.2071,-19.5401,-19.5565,0.2767,0.2526,-0.2437,-0.2415,23.8822,24.0717,23.098,0.4706,0.0182,0.0128,0.1,0.08,0.0224,0.0242,0.1895,-0.0054,-0.02
S00002Cha,262.4889,262.5182,-24.4395,-24.4383,0.4353,0.4236,0.0411,0.0423,23.6051,23.6635,20.891,0.496,0.0087,0.0036,0.29,0.17,0.0267,0.0117,0.0584,-0.0051,-0.12
S00007Tla,15.8162,15.8028,-11.8038,-11.868,-0.1185,-0.1459,-0.1804,-0.1712,23.09,23.0462,22.26,0.1542,0.0054,0.0036,0.03,0.07,0.0655,0.0289,-0.0437,-0.0018,0.04
S000017Sa,245.4652,245.4669,-36.7059,-36.6982,0.0088,0.0014,0.1077,0.1102,23.2076,23.1562,19.845,0.836,0.0027,0.0043,0.98,1.0,0.0078,0.0078,-0.0514,0.0016,0.02
S0000o7La,33.9647,34.0493,-2.9453,-3.0477,0.1378,0.1075,-0.3456,-0.3413,24.3348,24.0898,23.647,0.644,0.0201,0.0186,0.09,0.1,0.1328,0.0307,-0.245,-0.0015,0.01
S00001NYa,265.1865,265.2126,-31.5423,-31.5209,0.1893,0.1822,0.1829,0.1856,23.7758,23.7195,20.43,0.3884,0.0033,0.0047,0.03,0.03,0.0309,0.0076,-0.0563,0.0015,0.0
S00003Kxa,311.8005,311.7589,-13.6551,-13.729,-0.2594,-0.2782,-0.2953,-0.2859,21.5923,21.6581,21.337,0.1509,0.004,0.0026,0.13,0.19,0.0843,0.021,0.0657,-0.0013,0.06
S00000QUa,307.2613,307.2285,-12.7339,-12.7401,-0.2073,-0.2133,0.0103,0.0121,23.5924,23.6159,19.5,0.5041,0.0005,0.0014,0.01,0.02,0.0326,0.0064,0.0235,0.0009,0.01
S00006qJa,277.128,277.1358,-4.4584,-4.478,0.0777,0.0653,-0.1793,-0.178,24.3183,24.2363,22.006,0.2509,0.0076,0.0068,0.02,0.02,0.0211,0.0124,-0.082,-0.0008,0.0
S00006oTa,344.7813,344.7287,-0.3772,-0.4794,-0.3343,-0.3488,-0.293,-0.2867,23.5485,23.6048,22.0,0.5774,0.014,0.0132,0.13,0.16,0.115,0.0158,0.0563,-0.0008,0.03
S00000Aya,40.731,40.8311,-1.0394,-1.03,0.2911,0.2641,-0.0641,-0.0566,20.2667,20.2965,19.042,0.4876,0.001,0.0003,0.86,0.9,0.1005,0.0281,0.0298,-0.0007,0.04
S00002eea,252.0122,252.0349,-17.3946,-17.3982,0.3396,0.3315,-0.0132,-0.0125,24.1237,24.036,20.692,0.7001,0.0013,0.002,0.01,0.01,0.022,0.0081,-0.0877,0.0007,0.0
S00000jAa,268.1525,268.1434,-45.1287,-45.118,-0.116,-0.122,0.1848,0.1858,23.113,23.1635,18.268,0.7874,0.0142,0.0135,1.0,1.0,0.0125,0.006,0.0505,-0.0007,0.0
S00000Yua,300.4752,300.4353,-21.7398,-21.7377,-0.1694,-0.1736,0.0454,0.0481,23.8447,23.7982,19.666,0.4955,0.0021,0.0015,0.0,0.02,0.0371,0.0049,-0.0465,-0.0006,0.02
S000050Ea,260.5222,260.5253,-32.7484,-32.7336,0.0247,0.0168,0.1199,0.1242,24.3688,24.2746,21.696,0.5606,0.0043,0.0038,0.09,0.26,0.015,0.009,-0.0942,-0.0005,0.17
S0000dZka,269.1028,269.1029,-47.5321,-47.5265,0.0207,0.0028,0.2175,0.2179,24.8776,24.6408,22.97,0.6069,0.0192,0.0188,0.09,0.17,0.0056,0.0179,-0.2368,-0.0004,0.08
S00000i8a,12.8193,12.7632,-14.7833,-14.8157,-0.2193,-0.2246,-0.0252,-0.0231,24.2522,24.2187,18.172,0.843,0.0028,0.0032,0.76,0.84,0.0631,0.0057,-0.0335,0.0004,0.08
S000007Wa,264.2577,264.2507,-28.7675,-28.7622,-0.0476,-0.0512,0.0409,0.0425,22.2805,22.2613,17.148,0.6597,0.0031,0.0028,1.0,1.0,0.0081,0.0039,-0.0191,-0.0002,0.0
S000002ca,299.5044,299.4668,-26.7732,-26.7705,-0.1517,-0.1539,0.0433,0.0452,21.5742,21.6191,15.559,0.5359,0.0014,0.0015,0.07,0.38,0.0337,0.003,0.0449,0.0001,0.31
S00008nma,327.7909,327.7303,-8.5084,-8.5171,-0.3533,-0.3645,0.0711,0.0749,24.3225,24.162,22.334,0.3681,1.0,1.0,0.98,1.0,0.0606,0.0118,-0.1605,0.0,0.02
S00000mGa,290.4216,290.4129,-47.9963,-47.9954,-0.2727,-0.279,0.0797,0.0791,23.3017,23.1855,18.45,0.9,1.0,1.0,1.0,1.0,0.0059,0.0064,-0.1162,0.0,0.0
S000071Na,280.9551,281.0333,-11.8778,-11.9132,0.7208,0.6935,-0.383,-0.3782,22.6368,22.8865,22.116,0.4908,1.0,1.0,0.99,0.99,0.0843,0.0277,0.2496,0.0,0.0
S00000gSa,275.6985,275.6743,-32.3927,-32.3687,-0.1789,-0.1859,0.2342,0.2363,21.7618,21.8302,18.083,0.6525,1.0,1.0,1.0,1.0,0.0316,0.0072,0.0684,0.0,0.0
S00004Nba,356.539,356.4111,-15.828,-15.8229,-0.41,-0.4241,0.2012,0.2081,23.8854,23.9824,21.641,0.2868,1.0,1.0,1.0,1.0,0.1232,0.0157,0.0971,0.0,0.0
S0000nRQa,319.0887,318.9223,-11.8852,-12.0537,-1.3009,-1.3199,-0.7227,-0.709,23.2205,23.6493,23.633,0.7663,1.0,1.0,1.0,1.0,0.2343,0.0235,0.4288,0.0,0.0
