metric,point,ci_lo,median,ci_hi,frac_favouring_legacy,excludes_zero,verdict
delta AUC,0.0011876594682591612,1.1210224270280521e-05,0.0012101044247453396,0.0023244655861155285,0.02,True,new better
"delta raw pAUC over FPR in [0,0.001]",-4.9450489693143277e-05,-5.9227857257222864e-05,-4.941122759456528e-05,-4.0771769481219296e-05,1.0,True,LEGACY better
delta TPR @ FPR=0.001,-0.020888286875312634,-0.02851643259428338,-0.02195765309759823,-0.016464675269124388,1.0,True,LEGACY better
"delta raw pAUC over FPR in [0,0.005]",-6.500568867311932e-05,-7.826480185388491e-05,-6.557387791102922e-05,-5.072369287853593e-05,1.0,True,LEGACY better
delta TPR @ FPR=0.005,0.0020674413630831223,-0.0015006772652724624,0.0014614671704553661,0.003958437299489433,0.15,False,tied
"delta raw pAUC over FPR in [0,0.01]",-5.308112262014317e-05,-7.168986958414468e-05,-5.384623967954116e-05,-3.5281292179274275e-05,1.0,True,LEGACY better
delta TPR @ FPR=0.01,0.004562629215080105,0.001958722463817603,0.004420047052108966,0.007271690311534021,0.0,True,new better
"delta raw pAUC over FPR in [0,0.02]",-2.005206739010175e-05,-4.7007393262591104e-05,-2.0465924479513668e-05,1.1852622578566216e-05,0.924,False,tied
delta TPR @ FPR=0.02,0.001639694874169484,-0.0004990375703993744,0.0018535681186263586,0.003992300563195106,0.056,False,tied
"delta raw pAUC over FPR in [0,0.05]",1.3756056525551785e-05,-3.599824526178269e-05,1.4735016209903307e-05,6.740809080264354e-05,0.274,False,tied
delta TPR @ FPR=0.05,0.0004990375703993744,-0.001320667284521254,0.0006416197333706242,0.002532615669776934,0.254,False,tied
delta precision @ completeness=0.2,-0.0035260229814643163,-0.013858031821270433,-2.5034233657184046e-06,2.520337169742426e-06,0.568,False,tied
delta precision @ completeness=0.3,-0.013988805295595985,-0.025349928265450128,-0.013988805295595985,-0.004706935661540124,1.0,True,LEGACY better
delta precision @ completeness=0.4,-0.028796819603390644,-0.04176071374303384,-0.02728712623386026,-0.017050144508652488,1.0,True,LEGACY better
delta precision @ completeness=0.5,-0.04621350344517805,-0.06258788009902809,-0.04742962896566144,-0.03343816144067227,1.0,True,LEGACY better
delta completeness @ contamination=0.05,-0.12540101233336132,-0.15900049903757568,-0.12158693947387583,-0.08010265915734206,1.0,True,LEGACY better
delta completeness @ contamination=0.1,-0.059599344122052256,-0.0775343979468195,-0.05895772438868091,-0.0429136665003222,1.0,True,LEGACY better
