universe,population,rows,weight,frac_of_population
ALL_TEST2,NEO,49887,4988.673530293148,1.0
ALL_TEST2,MBA,614710,614710.0,1.0
ALL_TEST2,TNO,7575,7575.0,1.0
ALL_TEST2,Trojans,16516,16516.0,1.0
PAIRED_NEW_LEGACY,NEO,14027,1402.692557368091,0.2811754565317618
PAIRED_NEW_LEGACY,MBA,268682,268682.0,0.4370874070700005
PAIRED_NEW_LEGACY,TNO,3930,3930.0,0.5188118811881188
PAIRED_NEW_LEGACY,Trojans,16096,16096.0,0.9745701138290143
COMMON_THREEWAY,NEO,14026,1402.5925578986844,0.28115541122937837
COMMON_THREEWAY,MBA,268682,268682.0,0.4370874070700005
COMMON_THREEWAY,TNO,3862,3862.0,0.5098349834983499
COMMON_THREEWAY,Trojans,16096,16096.0,0.9745701138290143
