metric,classifier,expected,COMMON_THREEWAY,abs_diff,PAIRED_NEW_LEGACY,reproduced
Global AUC,new,0.93814,0.9381358025147934,4.197485206525187e-06,0.9380842463865635,True
Global AUC,legacy,0.93695,0.9369480838541224,1.916145877522979e-06,0.9368965869183044,True
Standardized pAUC (FPR<=0.01),new,0.71476,0.7147609173634876,9.173634876180614e-07,0.7148063346514963,True
Standardized pAUC (FPR<=0.01),legacy,0.72007,0.7200722148335346,2.214833534575078e-06,0.7201144469135106,True
Completeness @ 5% contamination,new,0.4252,0.4252103236845991,1.0323684599078398e-05,0.4251800099807648,True
Completeness @ 5% contamination,legacy,0.5506,0.5506202766291348,2.0276629134841073e-05,0.5505810223141261,True
Completeness @ 10% contamination,new,0.5391,0.5390702980179838,2.9701982016239192e-05,0.5390318671134413,True
Completeness @ 10% contamination,legacy,0.5987,0.5986738913446648,2.6108655335255193e-05,0.5986312112354936,True
NEO score median,new,0.2804,0.28037270801695674,2.7291983043242762e-05,0.2803469934038835,True
NEO score median,legacy,0.5078,0.5077514304200473,4.8569579952695285e-05,0.5076794504382368,True
Non-NEO score median,new,0.0005,0.0005430872106015146,4.3087210601514556e-05,0.0005429889399031736,True
Non-NEO score median,legacy,0.0006,0.000573440286246594,2.655971375340599e-05,0.000573328642510093,True
