classifier,interval,interval_max,raw_pauc,frac_of_interval_max,n_attainable_points,first_attainable_FPR,last_attainable_FPR
new,"[0,0.001]",0.001,0.0005558109555330268,0.5558109555330268,9361,0.0,0.0009977827050997783
new,"[0,0.005]",0.005,0.003388589556756121,0.6777179113512242,11785,0.0,0.004999307095343681
new,"[0,0.01]",0.01,0.007147609173634876,0.7147609173634876,13607,0.0,0.009998614190687361
new,"[0,0.02]",0.02,0.014955990822238995,0.7477995411119497,16915,0.0,0.019997228381374722
new,"[0,0.05]",0.05,0.03949268456497873,0.7898536912995746,26162,0.0,0.05
legacy,"[0,0.001]",0.001,0.0006052766216083532,0.6052766216083532,9654,0.0,0.0009977827050997783
legacy,"[0,0.005]",0.005,0.0034536151957104506,0.6907230391420901,11756,0.0,0.004999307095343681
legacy,"[0,0.01]",0.01,0.007200722148335345,0.7200722148335346,13544,0.0,0.009998614190687361
legacy,"[0,0.02]",0.02,0.01497606040595165,0.7488030202975825,16892,0.0,0.019997228381374722
legacy,"[0,0.05]",0.05,0.03947892996787804,0.7895785993575607,26154,0.0,0.05
digest2,"[0,0.001]",0.001,0.0004289248281541259,0.4289248281541259,4,0.0,0.0008626662971175167
digest2,"[0,0.005]",0.005,0.002931395122670598,0.5862790245341196,16,0.0,0.004857261640798226
digest2,"[0,0.01]",0.01,0.00634910263165861,0.634910263165861,29,0.0,0.00987389135254989
digest2,"[0,0.02]",0.02,0.013388792868400038,0.6694396434200018,48,0.0,0.01966809866962306
digest2,"[0,0.05]",0.05,0.03538234102002689,0.7076468204005377,73,0.0,0.048534506651884704
