stratum,bin,n,n_NEO,auc_new,auc_legacy,delta_auc,note
apparent V,"(20, 22]",19803,552,0.942100598576106,0.9411285993801297,0.0009719991959762364,
apparent V,"(22, 23]",43534,1491,0.9421855363723299,0.9413633287487689,0.0008222076235609999,
apparent V,"(23, 24]",85082,3404,0.928727983570489,0.927247876495586,0.001480107074902981,
apparent V,"(24, 25]",154316,8580,0.9373882786807824,0.9366580802365668,0.000730198444215624,
|v| deg/day,"(0.0, 0.25]",122051,1393,0.7346366740392343,0.723995466019514,0.010641208019720239,
|v| deg/day,"(0.25, 0.5]",161517,2391,0.8204845027232919,0.8196507161482326,0.000833786575059281,
|v| deg/day,"(0.5, 1.0]",13752,4832,0.940808914968995,0.9411018054153468,-0.0002928904463518345,
|v| deg/day,"(1.0, 2.0]",3773,3769,,,,insufficient counts
|v| deg/day,"(2.0, 5.0]",1588,1588,,,,insufficient counts
|ecliptic lat| deg,"(0, 5]",145873,3695,0.9196175576743532,0.9168603228517248,0.0027572348226283516,
|ecliptic lat| deg,"(5, 15]",130053,5159,0.9239944020698084,0.9237713619917175,0.0002230400780909303,
|ecliptic lat| deg,"(15, 30]",25087,3920,0.927153380840246,0.9253284256491177,0.0018249551911283524,
|ecliptic lat| deg,"(30, 90]",1722,1253,0.9210440784335295,0.9251961603452572,-0.0041520819117276675,
|antisolar lon| deg,"(40, 70]",16690,725,0.9166951845092322,0.9141414084689716,0.0025537760402605247,
|antisolar lon| deg,"(70, 110]",153668,7223,0.9323729498345463,0.9310409419094187,0.001332007925127665,
|antisolar lon| deg,"(110, 141]",132377,6079,0.9464449004928418,0.945733303045297,0.0007115974475447873,
NEO vs single contaminant,MBA,282709,14027,0.9365351958722313,0.935533873546079,0.001001322326152354,
NEO vs single contaminant,TNO,17957,14027,0.9995962167471079,0.9995517913378054,4.442540930249539e-05,
NEO vs single contaminant,Trojans,30123,14027,0.9489229607736714,0.9443457420442762,0.004577218729395205,
