population,n,quantile,old_p_NEO_4pop,p_k10,p_k30
NEO,228,0.01,0.00032365044463466354,0.0003236659040338807,0.0003720717516892381
NEO,228,0.05,0.000545039332532696,0.0005451813272653139,0.0006210655256049891
NEO,228,0.25,0.022515854499650677,0.022562055897528223,0.021290662197687864
NEO,228,0.5,0.3902479658463265,0.4205132577352674,0.31301291050274654
NEO,228,0.75,0.7704373184168964,0.79860637497022,0.6710420646571926
NEO,228,0.95,0.9086852965712185,0.9249204506344357,0.8546806032194603
NEO,228,0.99,0.9488123184089877,0.9643156038012092,0.9222326764989268
MBA,5327,0.01,0.00011956262406934142,0.00011957587706717813,0.00012796253796554108
MBA,5327,0.05,0.0001815150549156572,0.00018152886856467195,0.00020918205317537172
MBA,5327,0.25,0.00033018305923097137,0.0003303180771674612,0.0003609487107957828
MBA,5327,0.5,0.00048238803903600836,0.00048240745862383673,0.0005014970865625105
MBA,5327,0.75,0.0007704877715757072,0.0007718242115077633,0.0007829272821490307
MBA,5327,0.95,0.00297188643762604,0.002973468439929562,0.0031176724674541302
MBA,5327,0.99,0.014094452214119544,0.014106679493890705,0.013800910697653141
TNO,45,0.01,9.949662414258503e-07,9.949838293370534e-07,1.1245570336608963e-06
TNO,45,0.05,1.1162909546904289e-06,1.116322882434999e-06,1.1879831708694417e-06
TNO,45,0.25,1.6809063204012856e-06,1.6809859190432221e-06,1.8651741970237051e-06
TNO,45,0.5,2.3626112318447957e-06,2.3627032811937696e-06,2.7313860528676205e-06
TNO,45,0.75,3.7006578811549244e-06,3.7013741671562194e-06,4.941233416834163e-06
TNO,45,0.95,1.3548512470450819e-05,1.3552585412030716e-05,1.8805177416333246e-05
TNO,45,0.99,5.390991699176356e-05,5.419307624505402e-05,0.001901715220465693
Trojans,884,0.01,0.00011502447987014395,0.0001189651625971316,0.00014497466669616252
Trojans,884,0.05,0.00016003534455410969,0.00016325837783641168,0.0001868120929567601
Trojans,884,0.25,0.0002645151068793978,0.0002611291679665001,0.00028468824332241165
Trojans,884,0.5,0.0004067548021230064,0.00041471618186541664,0.0004315403846038696
Trojans,884,0.75,0.0006202636729033436,0.000622576413389882,0.0006292565082169966
Trojans,884,0.95,0.0010800748074692773,0.001081714024569819,0.0011503370608447268
Trojans,884,0.99,0.0016641126375461944,0.0018246849150878384,0.0016157251666865063
