tracklet_uid,center_label,magnitude_bin,vlam,vbeta,population,w_phys,mean_mag_V,P_NEO_new,new_vdp_valid,new_vdp_reason,n_pops_new,rho_NEO_new,rho_MBA_new,rho_TNO_new,rho_Trojans_new,p_NEO_vs_OTHER,rho_NEO_pilot,rho_OTHER_pilot,total_density_pilot,pilot_reason,pilot_valid,score_diff_old_minus_new
T2:86a48e3fa119b030d0ecaed91733ad93,dlon-060_lat-05,V023.50_023.75,-0.0027031025232958743,-0.13189846146728326,NEO,0.09999946940672212,23.56021861006672,,False,missing_population_density:Trojans,3,,,,,0.0012381332812851646,132.214114875971,106652.82823430849,106785.04234918446,ok,True,
T2:4e0109dec79ef4f0daa63a2f5bf80fc1,dlon-060_lat+00,V024.00_024.25,-0.05645678888895189,-0.005534767805200435,NEO,0.09999946940672212,24.123871235333638,,False,missing_population_density:Trojans,3,,,,,0.0006953442910302395,700.4369587097584,1006623.5142769774,1007323.9512356871,ok,True,
T2:da63e5ed7356fa182b6bc9793ca3eef3,dlon-060_lat+00,V023.50_023.75,0.7323022202251059,0.08174232908384792,NEO,0.09999946940672212,23.536411099711216,,False,missing_population_density:Trojans,3,,,,,0.46037199479798846,42.66445002499669,50.009410477134594,92.67386050213128,ok,True,
T2:06bd912cd113d9b27fc203ff7ad2d4e9,dlon-060_lat+00,V024.00_024.25,0.21385440805982606,-0.6462384905796893,NEO,0.09999946940672212,24.213400943512127,,False,missing_population_density:Trojans,3,,,,,0.24915838251911948,24.86703473856567,74.93709180595253,99.8041265445182,ok,True,
T2:ebba3874dee157e3c33555121e2dbf48,dlon-060_lat-05,V024.75_025.00,2.011800887083892,-1.719558456731164,NEO,0.09999946940672212,24.83870965647804,,False,missing_population_density:Trojans,3,,,,,0.830722188696482,3.4092004062290333,0.6946991315677605,4.103899537796794,ok,True,
T2:41c65183eac9132b088d3179f11e74f2,dlon-060_lat-05,V024.50_024.75,0.23234935948549612,0.20984760063209854,NEO,0.09999946940672212,24.64702269524652,0.018813124411772783,True,ok,4,188.64096811329995,9764.652039318074,30.766555058035554,43.03450144253147,0.01895261879384601,188.64096811329995,9764.652039318074,9953.293007431374,ok,True,-0.00013949438207322765
T2:602ed7ec858e9f8342cb734d58daebeb,dlon-060_lat-05,V024.00_024.25,1.729434064112151,0.4877585987444609,NEO,0.09999946940672212,24.182906704206363,,False,missing_population_density:Trojans,3,,,,,0.829610004505257,8.562593539967827,1.7586338963794261,10.321227436347252,ok,True,
T2:17b0c0841b0c1e38519c8c333d5bd243,dlon-060_lat-05,V024.25_024.50,0.2815116664503911,0.11532061305454838,NEO,0.09999946940672212,24.49008895169262,,False,missing_population_density:Trojans,3,,,,,0.0025524913364625987,145.54291002563374,56874.39989900115,57019.94280902679,ok,True,
T2:09756fce6c33aae3e609f4c641895159,dlon-060_lat+00,V024.00_024.25,0.5222493575345172,0.6094110006708323,NEO,0.09999946940672212,24.005836307085396,,False,missing_population_density:Trojans,3,,,,,0.4250004601727575,22.264558315192993,30.122580997886153,52.387139313079146,ok,True,
T2:c3bfe5eb313e9ba7bdd3e4575dc95488,dlon-060_lat+00,V022.75_023.00,-0.07795906332127363,0.10292545839854997,NEO,0.09999946940672212,22.923648914602364,,False,missing_population_density:Trojans,3,,,,,0.0005981438485887868,113.74610690698455,190051.3908837151,190165.1369906221,ok,True,
T2:76674f1a309bef07e516e14025be57d8,dlon-060_lat+00,V024.75_025.00,0.3463900445431363,0.08890311175161605,NEO,0.09999946940672212,24.891268615577573,,False,missing_population_density:Trojans,3,,,,,0.011033850017506041,241.50658006831827,21646.28233179379,21887.78891186211,ok,True,
T2:1b54c21f18be73d28543e913e9e20537,dlon-060_lat+00,V024.75_025.00,-1.2369017066017407,-1.4165986640862052,NEO,0.09999946940672212,24.872644910754886,,False,missing_population_density:Trojans,3,,,,,0.7528948196689028,4.1116973233468705,1.3494869163787444,5.461184239725615,ok,True,
T2:6282bab8f458b09d02eb698c5b2d0654,dlon-060_lat-05,V024.00_024.25,0.16457004969918185,0.48180059149896753,NEO,0.09999946940672212,24.22693664005369,,False,missing_population_density:Trojans,3,,,,,0.08372138162152164,32.98097917591674,360.9563703653689,393.93734954128564,ok,True,
T2:cb8a8152ac34335b227310baef6c86bd,dlon-060_lat-05,V024.25_024.50,2.8424880068336575,0.4395712874249231,NEO,0.09999946940672212,24.27518997297465,,False,missing_population_density:Trojans,3,,,,,0.9074382995397988,5.203077464890426,0.5307310679091388,5.733808532799565,ok,True,
T2:5b0126a140beb078d7464283fe4df278,dlon-060_lat-05,V023.50_023.75,-0.054558399769449914,0.017737599911534153,NEO,0.09999946940672212,23.505098426663405,,False,missing_population_density:Trojans,3,,,,,0.0006735490783955316,348.13367657021604,516516.46867654857,516864.60235311877,ok,True,
T2:a85576502d764b49d2f1ff26ae4a9f6d,dlon-060_lat+00,V022.00_022.25,2.6788160799907694,0.001897149259769058,NEO,0.09999946940672212,22.062990567916742,,False,missing_population_density:Trojans,3,,,,,0.40406427298651026,0.41390804215722504,0.6104538473460407,1.0243618895032658,ok,True,
T2:9e3974fee7be011c9eaa39e66c81e22e,dlon-060_lat+00,V024.25_024.50,-0.9165505267296729,-0.0013849917499026742,NEO,0.09999946940672212,24.30187248079975,,False,missing_population_density:Trojans,3,,,,,0.8125893089338109,24.259308693412695,5.595020457487726,29.85432915090042,ok,True,
T2:916f228615bc5ec676e68ab6b289bb1e,dlon-060_lat+00,V024.75_025.00,1.3219053304869277,0.10872104099767939,NEO,0.09999946940672212,24.764698114673088,,False,missing_population_density:Trojans,3,,,,,0.9286781074374577,64.84745199631476,4.980243388096944,69.8276953844117,ok,True,
