designation,mpc_score_0_1,mpc_score_int,our_d2_score,nobs,arc_days
ZTF10Di,1.0,100,1.0,4,0.02
C468U01,1.0,100,1.0,8,0.06
C468MQ1,1.0,100,1.0,7,0.06
P22mZMk,1.0,100,1.0,12,0.9
A11BX2S,1.0,100,1.0,2,0.01
P22mZMl,1.0,100,0.93,13,0.94
A11BRHV,1.0,100,1.0,4,0.02
A11BT9Q,1.0,100,1.0,4,0.01
ST26E02,0.98,98,1.0,16,0.1
ZTF10Df,0.98,98,0.03,9,0.68
P22n0fj,0.97,97,1.0,8,0.1
gb00843,0.96,96,1.0,29,0.41
P22mZLU,0.9,90,0.93,7,0.74
C468MC1,0.86,86,1.0,35,1.0
S001563,0.68,68,0.71,3,0.03
C1EUYV5,0.65,65,0.39,12,9.79
C1EUWK5,0.37,37,0.23,10,9.96
