index,delta_lon_from_antisun_deg,lat_deg,filename
0,-140.0,-50.0,prob_maps_grid_dlon-140_lat-50.npz
1,-130.0,-50.0,prob_maps_grid_dlon-130_lat-50.npz
2,-120.0,-50.0,prob_maps_grid_dlon-120_lat-50.npz
3,-110.0,-50.0,prob_maps_grid_dlon-110_lat-50.npz
4,-100.0,-50.0,prob_maps_grid_dlon-100_lat-50.npz
5,-90.0,-50.0,prob_maps_grid_dlon-090_lat-50.npz
6,-80.0,-50.0,prob_maps_grid_dlon-080_lat-50.npz
7,-70.0,-50.0,prob_maps_grid_dlon-070_lat-50.npz
8,-60.0,-50.0,prob_maps_grid_dlon-060_lat-50.npz
9,-50.0,-50.0,prob_maps_grid_dlon-050_lat-50.npz
10,-40.0,-50.0,prob_maps_grid_dlon-040_lat-50.npz
11,-30.0,-50.0,prob_maps_grid_dlon-030_lat-50.npz
12,-20.0,-50.0,prob_maps_grid_dlon-020_lat-50.npz
13,-10.0,-50.0,prob_maps_grid_dlon-010_lat-50.npz
14,0.0,-50.0,prob_maps_grid_dlon+000_lat-50.npz
15,10.0,-50.0,prob_maps_grid_dlon+010_lat-50.npz
16,20.0,-50.0,prob_maps_grid_dlon+020_lat-50.npz
17,30.0,-50.0,prob_maps_grid_dlon+030_lat-50.npz
18,40.0,-50.0,prob_maps_grid_dlon+040_lat-50.npz
19,50.0,-50.0,prob_maps_grid_dlon+050_lat-50.npz
20,60.0,-50.0,prob_maps_grid_dlon+060_lat-50.npz
21,70.0,-50.0,prob_maps_grid_dlon+070_lat-50.npz
22,80.0,-50.0,prob_maps_grid_dlon+080_lat-50.npz
23,90.0,-50.0,prob_maps_grid_dlon+090_lat-50.npz
24,100.0,-50.0,prob_maps_grid_dlon+100_lat-50.npz
25,110.0,-50.0,prob_maps_grid_dlon+110_lat-50.npz
26,120.0,-50.0,prob_maps_grid_dlon+120_lat-50.npz
27,130.0,-50.0,prob_maps_grid_dlon+130_lat-50.npz
28,140.0,-50.0,prob_maps_grid_dlon+140_lat-50.npz
29,-140.0,-35.0,prob_maps_grid_dlon-140_lat-35.npz
30,-130.0,-35.0,prob_maps_grid_dlon-130_lat-35.npz
31,-120.0,-35.0,prob_maps_grid_dlon-120_lat-35.npz
32,-110.0,-35.0,prob_maps_grid_dlon-110_lat-35.npz
33,-100.0,-35.0,prob_maps_grid_dlon-100_lat-35.npz
34,-90.0,-35.0,prob_maps_grid_dlon-090_lat-35.npz
35,-80.0,-35.0,prob_maps_grid_dlon-080_lat-35.npz
36,-70.0,-35.0,prob_maps_grid_dlon-070_lat-35.npz
37,-60.0,-35.0,prob_maps_grid_dlon-060_lat-35.npz
38,-50.0,-35.0,prob_maps_grid_dlon-050_lat-35.npz
39,-40.0,-35.0,prob_maps_grid_dlon-040_lat-35.npz
40,-30.0,-35.0,prob_maps_grid_dlon-030_lat-35.npz
41,-20.0,-35.0,prob_maps_grid_dlon-020_lat-35.npz
42,-10.0,-35.0,prob_maps_grid_dlon-010_lat-35.npz
43,0.0,-35.0,prob_maps_grid_dlon+000_lat-35.npz
44,10.0,-35.0,prob_maps_grid_dlon+010_lat-35.npz
45,20.0,-35.0,prob_maps_grid_dlon+020_lat-35.npz
46,30.0,-35.0,prob_maps_grid_dlon+030_lat-35.npz
47,40.0,-35.0,prob_maps_grid_dlon+040_lat-35.npz
48,50.0,-35.0,prob_maps_grid_dlon+050_lat-35.npz
49,60.0,-35.0,prob_maps_grid_dlon+060_lat-35.npz
50,70.0,-35.0,prob_maps_grid_dlon+070_lat-35.npz
51,80.0,-35.0,prob_maps_grid_dlon+080_lat-35.npz
52,90.0,-35.0,prob_maps_grid_dlon+090_lat-35.npz
53,100.0,-35.0,prob_maps_grid_dlon+100_lat-35.npz
54,110.0,-35.0,prob_maps_grid_dlon+110_lat-35.npz
55,120.0,-35.0,prob_maps_grid_dlon+120_lat-35.npz
56,130.0,-35.0,prob_maps_grid_dlon+130_lat-35.npz
57,140.0,-35.0,prob_maps_grid_dlon+140_lat-35.npz
58,-140.0,-25.0,prob_maps_grid_dlon-140_lat-25.npz
59,-130.0,-25.0,prob_maps_grid_dlon-130_lat-25.npz
60,-120.0,-25.0,prob_maps_grid_dlon-120_lat-25.npz
61,-110.0,-25.0,prob_maps_grid_dlon-110_lat-25.npz
62,-100.0,-25.0,prob_maps_grid_dlon-100_lat-25.npz
63,-90.0,-25.0,prob_maps_grid_dlon-090_lat-25.npz
64,-80.0,-25.0,prob_maps_grid_dlon-080_lat-25.npz
65,-70.0,-25.0,prob_maps_grid_dlon-070_lat-25.npz
66,-60.0,-25.0,prob_maps_grid_dlon-060_lat-25.npz
67,-50.0,-25.0,prob_maps_grid_dlon-050_lat-25.npz
68,-40.0,-25.0,prob_maps_grid_dlon-040_lat-25.npz
69,-30.0,-25.0,prob_maps_grid_dlon-030_lat-25.npz
70,-20.0,-25.0,prob_maps_grid_dlon-020_lat-25.npz
71,-10.0,-25.0,prob_maps_grid_dlon-010_lat-25.npz
72,0.0,-25.0,prob_maps_grid_dlon+000_lat-25.npz
73,10.0,-25.0,prob_maps_grid_dlon+010_lat-25.npz
74,20.0,-25.0,prob_maps_grid_dlon+020_lat-25.npz
75,30.0,-25.0,prob_maps_grid_dlon+030_lat-25.npz
76,40.0,-25.0,prob_maps_grid_dlon+040_lat-25.npz
77,50.0,-25.0,prob_maps_grid_dlon+050_lat-25.npz
78,60.0,-25.0,prob_maps_grid_dlon+060_lat-25.npz
79,70.0,-25.0,prob_maps_grid_dlon+070_lat-25.npz
80,80.0,-25.0,prob_maps_grid_dlon+080_lat-25.npz
81,90.0,-25.0,prob_maps_grid_dlon+090_lat-25.npz
82,100.0,-25.0,prob_maps_grid_dlon+100_lat-25.npz
83,110.0,-25.0,prob_maps_grid_dlon+110_lat-25.npz
84,120.0,-25.0,prob_maps_grid_dlon+120_lat-25.npz
85,130.0,-25.0,prob_maps_grid_dlon+130_lat-25.npz
86,140.0,-25.0,prob_maps_grid_dlon+140_lat-25.npz
87,-140.0,-18.0,prob_maps_grid_dlon-140_lat-18.npz
88,-130.0,-18.0,prob_maps_grid_dlon-130_lat-18.npz
89,-120.0,-18.0,prob_maps_grid_dlon-120_lat-18.npz
90,-110.0,-18.0,prob_maps_grid_dlon-110_lat-18.npz
91,-100.0,-18.0,prob_maps_grid_dlon-100_lat-18.npz
92,-90.0,-18.0,prob_maps_grid_dlon-090_lat-18.npz
93,-80.0,-18.0,prob_maps_grid_dlon-080_lat-18.npz
94,-70.0,-18.0,prob_maps_grid_dlon-070_lat-18.npz
95,-60.0,-18.0,prob_maps_grid_dlon-060_lat-18.npz
96,-50.0,-18.0,prob_maps_grid_dlon-050_lat-18.npz
97,-40.0,-18.0,prob_maps_grid_dlon-040_lat-18.npz
98,-30.0,-18.0,prob_maps_grid_dlon-030_lat-18.npz
99,-20.0,-18.0,prob_maps_grid_dlon-020_lat-18.npz
100,-10.0,-18.0,prob_maps_grid_dlon-010_lat-18.npz
101,0.0,-18.0,prob_maps_grid_dlon+000_lat-18.npz
102,10.0,-18.0,prob_maps_grid_dlon+010_lat-18.npz
103,20.0,-18.0,prob_maps_grid_dlon+020_lat-18.npz
104,30.0,-18.0,prob_maps_grid_dlon+030_lat-18.npz
105,40.0,-18.0,prob_maps_grid_dlon+040_lat-18.npz
106,50.0,-18.0,prob_maps_grid_dlon+050_lat-18.npz
107,60.0,-18.0,prob_maps_grid_dlon+060_lat-18.npz
108,70.0,-18.0,prob_maps_grid_dlon+070_lat-18.npz
109,80.0,-18.0,prob_maps_grid_dlon+080_lat-18.npz
110,90.0,-18.0,prob_maps_grid_dlon+090_lat-18.npz
111,100.0,-18.0,prob_maps_grid_dlon+100_lat-18.npz
112,110.0,-18.0,prob_maps_grid_dlon+110_lat-18.npz
113,120.0,-18.0,prob_maps_grid_dlon+120_lat-18.npz
114,130.0,-18.0,prob_maps_grid_dlon+130_lat-18.npz
115,140.0,-18.0,prob_maps_grid_dlon+140_lat-18.npz
116,-140.0,-12.0,prob_maps_grid_dlon-140_lat-12.npz
117,-130.0,-12.0,prob_maps_grid_dlon-130_lat-12.npz
118,-120.0,-12.0,prob_maps_grid_dlon-120_lat-12.npz
119,-110.0,-12.0,prob_maps_grid_dlon-110_lat-12.npz
120,-100.0,-12.0,prob_maps_grid_dlon-100_lat-12.npz
121,-90.0,-12.0,prob_maps_grid_dlon-090_lat-12.npz
122,-80.0,-12.0,prob_maps_grid_dlon-080_lat-12.npz
123,-70.0,-12.0,prob_maps_grid_dlon-070_lat-12.npz
124,-60.0,-12.0,prob_maps_grid_dlon-060_lat-12.npz
125,-50.0,-12.0,prob_maps_grid_dlon-050_lat-12.npz
126,-40.0,-12.0,prob_maps_grid_dlon-040_lat-12.npz
127,-30.0,-12.0,prob_maps_grid_dlon-030_lat-12.npz
128,-20.0,-12.0,prob_maps_grid_dlon-020_lat-12.npz
129,-10.0,-12.0,prob_maps_grid_dlon-010_lat-12.npz
130,0.0,-12.0,prob_maps_grid_dlon+000_lat-12.npz
131,10.0,-12.0,prob_maps_grid_dlon+010_lat-12.npz
132,20.0,-12.0,prob_maps_grid_dlon+020_lat-12.npz
133,30.0,-12.0,prob_maps_grid_dlon+030_lat-12.npz
134,40.0,-12.0,prob_maps_grid_dlon+040_lat-12.npz
135,50.0,-12.0,prob_maps_grid_dlon+050_lat-12.npz
136,60.0,-12.0,prob_maps_grid_dlon+060_lat-12.npz
137,70.0,-12.0,prob_maps_grid_dlon+070_lat-12.npz
138,80.0,-12.0,prob_maps_grid_dlon+080_lat-12.npz
139,90.0,-12.0,prob_maps_grid_dlon+090_lat-12.npz
140,100.0,-12.0,prob_maps_grid_dlon+100_lat-12.npz
141,110.0,-12.0,prob_maps_grid_dlon+110_lat-12.npz
142,120.0,-12.0,prob_maps_grid_dlon+120_lat-12.npz
143,130.0,-12.0,prob_maps_grid_dlon+130_lat-12.npz
